;Infracciones;AOL;Suspensiones;Juicio Experto;N° Dest Sin AOL;Ton Dest SIN AOL;N° Patentes Utilizadas;Prom Días (Fecha Recurso a Fecha Declaración);N° Regiones destino;N° Transacciones;N° Destinatarios;N° Especies Visadas;N° Declaraciones Origen;Toneladas Abastecimiento;Abastecimiento DA;Abastecimiento DI;Abastecimiento COM;N° Declaraciones de Proveedor;Toneladas Destinos;N° Declaraciones Abastecimiento;Toneladas Stock;N° Declaraciones Destinos;Toneladas Visadas;N° Solicitudes AOL;Prom Tons AOL
Jurgen Damm |Tigres & Mexico;1;1;0;;72;51,08;11;1;2;344;3;6;800;643,47;643,474;0;0;800;643,47;170;0,00;174;615,298;153;4,02
Danilo Pereira |Porto & Portugal;1;0;0;;61;6,05;11;16;3;167;14;13;52;10,21;0;0;10,206;67;8,23;69;1,98;98;7,779;47;0,17
Vladimir Darida |Hertha & Czech Rep*;1;0;0;;29;3,15;7;14;2;84;6;11;51;9,42;0;0;9,22;47;3,93;44;5,59;40;4,343;22;0,20
David Luiz |PSG & Brazil;1;0;0;;10;1,20;17;4;4;79;29;1;30;19,44;0;0;19,44;24;19,44;23;0,00;56;18,24;51;0,36
Steven Davis |Southampton & N Ireland*;1;0;0;;8;0,20;2;27;1;39;1;3;46;1,98;0;0;1,98;49;0,35;28;1,63;11;0,222;5;0,04
Kevin De Bruyne |Manchester City & Belgium;1;0;0;;0;0,00;1;2;1;2;1;1;1;0,10;0,1;0;0;1;0,10;1;0,00;1;0,1;1;0,10
David De Gea | Manchester United & Spain;1;0;0;;140;9,42;2;16;2;168;6;7;62;11,04;0;0;11,041;67;10,79;48;0,25;120;5,396;9;0,60
Luuk de Jong |PSV & Holland*;1;0;0;;116;1,38;5;14;1;394;35;14;93;4,79;0;0;4,792;103;3,29;94;1,51;300;2,657;205;0,01
Daniele De Rossi |Roma & Italy;1;0;0;;102;32,43;4;34;4;162;21;5;62;42,45;1,295;0;41,158;53;36,35;53;11,56;109;14,662;39;0,38
Brecht Dejaegere |Gent & Belgium*;1;0;0;;51;1,26;47;31;1;289;37;39;58;10,10;0;0;10,095;65;10,24;65;0,33;224;75,073;186;0,40
Nicolas Delgadillo |Velez & Argentina*;1;7;0;;37;1,31;7;8;2;466;28;6;65;7,77;0;0;7,765;67;6,09;64;1,67;402;58,713;371;0,16
Mattias Delgado |Basel & Argentina*;1;0;0;;28;2,76;18;17;3;77;16;5;23;6,00;0;0;5,998;20;5,14;21;0,86;56;7,215;32;0,23
Andy Delort |Caen & France*;1;0;0;;8;3,59;11;1;3;52;8;2;24;14,35;12,296;0;2,05;27;14,35;24;0,00;28;11,055;23;0,48
Clint Dempsey |Seattle Sounders & USA;1;0;0;;4;0,31;3;20;2;16;3;6;9;1,70;0;0;1,696;10;0,85;9;0,85;7;6,796;4;1,70
Leander Dendoncker |Anderlecht & Belgium*;1;0;0;;3;0,23;4;15;1;25;8;10;13;1,80;0;0;1,801;13;0,77;11;1,04;14;2,17;12;0,18
Memphis Depay |Man United & Holland;1;0;0;;2;1,07;9;0;3;52;8;1;26;10,85;10,851;0;0;26;10,85;26;0,00;26;9,779;25;0,39
Laurent Depoitre |Gent & Belgium;1;0;0;;0;0,00;3;0;1;16;3;8;7;2,65;2,65;0;0;7;2,65;7;0,00;9;7,375;9;0,82
Olivier Deschacht |Anderlecht & Belgium*;1;0;0;;0;0,00;5;1;4;12;4;4;9;1,36;0;0;1,36;6;1,36;6;0,00;6;3,336;6;0,56
Angel Di María |PSG & Argentina;1;1;0;;0;0,00;3;1;1;9;6;2;2;1,65;0;0;1,65;2;1,65;2;0,00;7;1,7;7;0,24
Lassana Diarra |Marseille & France*;1;12;0;;0;0,00;10;2;3;62;4;5;112;74,08;74,08;0;0;112;74,08;30;0,00;32;91,196;32;2,85
Marcelo Díaz |Celta Vigo & Chile;1;1;0;;0;0,00;1;3;1;3;1;1;8;6,87;0;0;6,873;2;6,87;2;0,00;1;6,873;1;6,87
Mauro Diaz |Dallas & Argentina*;1;0;0;;0;0,00;2;3;2;3;2;1;1;0,40;0;0;0,4;1;0,40;1;0,00;2;0,4;2;0,20
Sergio Díaz |Cerro Porteno & Paraguay*;1;0;0;;0;0,00;10;4;2;27;9;3;17;14,12;0;0;14,12;11;14,12;12;0,00;15;17,356;15;1,16
Daniel Didavi |Stuttgart & Germany*;1;0;0;;0;0,00;3;4;2;6;2;2;6;5,24;0;0;5,239;3;5,24;3;0,00;3;5,327;3;1,78
Famara Diedhiou |Clermont (loan Sochaux) & Sen*;1;0;0;;0;0,00;6;5;2;15;11;6;3;5,05;0;0;5,045;3;4,00;3;1,05;12;12,433;12;1,04
Diogo Jota |Paços Ferreira & Portugal*;0;0;0;;1;0,10;1;4;1;6;1;1;3;0,38;0;0;0,384;3;0,38;3;0,00;3;0,28;3;0,09
Nabil Dirar |Monaco & Morocco*;0;0;0;;0;0,00;1;5;1;2;1;2;1;0,14;0;0;0,14;1;0,04;1;0,10;1;0,355;1;0,36
Borek Dockal |Sparta & Czech Rep;0;0;1;;16;4,39;7;5;1;167;22;1;59;38,94;0;0;38,943;43;38,93;40;0,01;127;34,548;118;0,29
Alejandro Dominguez |Olympiakos & Arg;0;0;1;;9;1,38;5;121;1;18;4;4;9;4,04;0;0;4,035;7;2,15;6;1,89;12;1,498;6;0,25
Gianluigi Donnarumma |Milan & Italy*;0;35;0;;206;24,72;20;15;2;635;13;31;257;47,27;0;0,79;46,874;228;39,82;203;8,41;432;240,341;311;0,77
Giovanni Dos Santos |LA Galaxy & Mexico;0;2;0;;141;2,69;4;21;3;226;11;5;59;4,55;0;0;4,46;69;4,02;65;0,53;161;1,798;42;0,04
Jonathan Dos Santos |Villarreal & Mexico;0;0;0;;127;5,71;1;14;1;200;2;3;89;11,64;0;0;11,64;100;6,04;94;5,99;106;0,455;5;0,09
Bas Dost |Wolfsburg & Holland;0;0;0;;83;58,50;1;1;1;31;1;2;91;64,24;64,235;0;0;91;64,24;14;0,00;17;6,213;2;3,11
Douglas Costa |Bayern Munich & Brazil;0;0;0;;80;3,58;1;24;1;150;1;2;78;7,26;0;0;7,256;74;3,63;75;3,62;75;0,11;2;0,06
Julian Draxler |Wolfsburg & Germany;0;0;0;;71;46,34;1;15;1;127;1;1;66;42,81;37,118;0;5,695;66;46,84;61;0,00;66;0,495;2;0,25
Jimmy Durmaz |Olympiakos & Sweden*;0;0;0;;16;0,46;2;90;1;27;3;3;6;0,61;0;0;0,61;6;0,55;7;0,06;20;0,189;5;0,04
Paulo Dybala |Juventus & Argentina;0;0;0;;2;0,14;2;5;3;14;8;2;5;5,18;0;0;5,184;3;2,62;3;2,56;11;2,885;10;0,29
Balazs Dzsudzsak |Bursaspor & Hungary*;0;1;0;;2;1,40;2;61;1;5;1;4;1;1,12;0;0;1,12;1;1,52;1;0,00;4;1,61;3;0,54
Artyom Dzyuba |Zenit & Russia;0;0;0;;0;0,00;2;1;1;10;2;1;7;4,50;0;0;4,5;5;4,50;5;0,00;5;4,5;5;0,90
der | Inter & Italy*;0;0;0;;0;0,00;5;2;1;48;18;3;13;3,24;0,93;0;2,31;18;1,93;18;1,32;30;1,995;30;0,07
Mohamed Elneny | Arsenal & Egypt;0;0;0;;0;0,00;1;2;1;2;1;1;1;1,00;0;0;1;1;1,00;1;0,00;1;1;1;1,00
Breel Embolo | Basel & Switzerland;0;0;0;;0;0,00;1;3;1;7;1;2;6;0,19;0;0;0,192;6;0,01;6;0,19;1;0,019;1;0,02
Vincent Enyeama | Lille & Nigeria;0;41;1;;7;1,50;7;7;2;319;51;1;65;39,71;5,8;0;33,905;57;39,96;57;0,10;262;38,897;262;0,15
Christian Eriksen | Tottenham & Denmark;0;2;1;;0;0,00;3;0;1;78;4;1;39;50,52;50,515;0;0;39;50,52;39;0,00;39;50,515;39;1,30
Cristian Espinoza | Huracán & Argentina*;0;0;1;;0;0,00;2;7;2;3;2;4;1;0,20;0;0;0,2;1;0,20;1;0,00;2;4,425;2;2,21
Jonny Evans | West Brom & Northern Ireland*;0;0;0;;2.093;1.567,49;0;1;0;381;0;0;2092;1.567,49;0;0;1567,49;252;1.567,49;190;0,00;191;0;1;0,00
rank Fabra | Boca Juniors & Colombia*;0;0;0;;288;2,10;0;42;0;331;0;0;73;2,44;0;0;2,435;82;2,10;67;0,40;264;0;1;0,00
Cesc Fàbregas | Chelsea & Spain;0;0;0;;285;5,57;1;12;1;527;2;4;69;7,67;0;0;7,673;361;5,72;361;1,99;166;0,207;8;0,03
Diego Fagundez | New England Rev & Uruguay*;0;0;0;;251;8,41;0;37;0;252;0;0;23;7,31;0;0;7,31;21;8,41;17;0,00;235;0;1;0,00
